batch,timestamp,atlases,templates,top_n,subject,label,k,se,sn,j,volume
batch_1,2013-12-27.02-54-08-node08_16,1,11,0,16,1,0.8352899324,0.8581871345,0.9998864185,0.7171655467,4329
batch_1,2013-12-27.02-54-08-node08_16,1,11,0,16,2,0.8950408719,0.8849137931,0.9999396157,0.8100217005,4535
batch_1,2013-12-27.02-54-08-node08_16,1,13,0,16,1,0.8359800901,0.8594054581,0.9998864185,0.7181836693,4334
batch_1,2013-12-27.02-54-08-node08_16,1,13,0,16,2,0.8955061082,0.8846982759,0.9999404602,0.8107841201,4528
batch_1,2013-12-27.02-54-08-node08_16,1,15,0,16,1,0.8348156054,0.8576998051,0.9998861371,0.7164665174,4329
batch_1,2013-12-27.02-54-08-node08_16,1,15,0,16,2,0.894212887,0.8808189655,0.999941727,0.8086664028,4501
batch_1,2013-12-27.02-54-08-node08_16,1,17,0,16,1,0.8369063129,0.8608674464,0.9998865593,0.7195519348,4339
batch_1,2013-12-27.02-54-08-node08_16,1,17,0,16,2,0.8966346154,0.8842672414,0.9999424308,0.8126361656,4512
batch_1,2013-12-27.02-54-08-node08_16,1,19,0,16,1,0.8361782835,0.8594054581,0.9998867,0.7184762681,4332
batch_1,2013-12-27.02-54-08-node08_16,1,19,0,16,2,0.8978923228,0.8859913793,0.9999428531,0.8147047166,4517
batch_1,2013-12-27.02-54-08-node08_16,1,1,0,16,1,0.824303313,0.839668616,0.9998858556,0.7011190234,4257
batch_1,2013-12-27.02-54-08-node08_16,1,1,0,16,2,0.8561694879,0.8665948276,0.9998969667,0.7485107967,4753
batch_1,2013-12-27.02-54-08-node08_16,1,3,0,16,1,0.8202494497,0.817251462,0.9998986634,0.6952736318,4074
batch_1,2013-12-27.02-54-08-node08_16,1,3,0,16,2,0.8848076505,0.8773706897,0.9999308888,0.7934125901,4562
batch_1,2013-12-27.02-54-08-node08_16,1,5,0,16,1,0.830846365,0.8479532164,0.999888389,0.7106391668,4273
batch_1,2013-12-27.02-54-08-node08_16,1,5,0,16,2,0.8910395824,0.8829741379,0.999935393,0.8034908806,4556
batch_1,2013-12-27.02-54-08-node08_16,1,7,0,16,1,0.832382311,0.8530701754,0.9998864185,0.7128894319,4308
batch_1,2013-12-27.02-54-08-node08_16,1,7,0,16,2,0.8948225334,0.888362069,0.9999365191,0.8096641131,4573
batch_1,2013-12-27.02-54-08-node08_16,1,9,0,16,1,0.8356506239,0.8567251462,0.9998881075,0.7176974893,4311
batch_1,2013-12-27.02-54-08-node08_16,1,9,0,16,2,0.8959877889,0.8855603448,0.9999404602,0.8115741655,4532
batch_1,2013-12-27.02-54-08-node08_16,3,11,0,16,1,0.8301700764,0.820662768,0.9999096415,0.7096502318,4010
batch_1,2013-12-27.02-54-08-node08_16,3,11,0,16,2,0.9040974529,0.8797413793,0.9999566472,0.8249797898,4390
batch_1,2013-12-27.02-54-08-node08_16,3,13,0,16,1,0.8334152334,0.8265107212,0.99990936,0.7144060657,4036
batch_1,2013-12-27.02-54-08-node08_16,3,13,0,16,2,0.9051838724,0.8806034483,0.9999574917,0.826790773,4388
batch_1,2013-12-27.02-54-08-node08_16,3,15,0,16,1,0.8301096464,0.8209064327,0.99990936,0.7095619208,4013
batch_1,2013-12-27.02-54-08-node08_16,3,15,0,16,2,0.9047777408,0.8795258621,0.9999577732,0.8261133603,4381
batch_1,2013-12-27.02-54-08-node08_16,3,17,0,16,1,0.8304897508,0.8243177388,0.9999071081,0.7101175483,4043
batch_1,2013-12-27.02-54-08-node08_16,3,17,0,16,2,0.9041763598,0.8795258621,0.9999569287,0.825111201,4387
batch_1,2013-12-27.02-54-08-node08_16,3,19,0,16,1,0.8313090418,0.8255360624,0.9999072488,0.7113163972,4047
batch_1,2013-12-27.02-54-08-node08_16,3,19,0,16,2,0.9050415512,0.8801724138,0.9999576325,0.8265533293,4385
batch_1,2013-12-27.02-54-08-node08_16,3,1,0,16,1,0.8350118115,0.8182261209,0.999918227,0.716755603,3939
batch_1,2013-12-27.02-54-08-node08_16,3,1,0,16,2,0.8781714786,0.8653017241,0.9999311704,0.7828036654,4504
batch_1,2013-12-27.02-54-08-node08_16,3,3,0,16,1,0.7966730646,0.7585282651,0.9999158343,0.6620586984,3711
batch_1,2013-12-27.02-54-08-node08_16,3,3,0,16,2,0.8939107202,0.8653017241,0.9999538321,0.8081723027,4343
batch_1,2013-12-27.02-54-08-node08_16,3,5,0,16,1,0.8121636841,0.7906920078,0.9999096415,0.6837336705,3887
batch_1,2013-12-27.02-54-08-node08_16,3,5,0,16,2,0.9048147326,0.8788793103,0.9999583362,0.8261750405,4374
batch_1,2013-12-27.02-54-08-node08_16,3,7,0,16,1,0.8280475719,0.8143274854,0.9999118934,0.7065539112,3968
batch_1,2013-12-27.02-54-08-node08_16,3,7,0,16,2,0.9080866107,0.8857758621,0.9999574917,0.8316471064,4412
batch_1,2013-12-27.02-54-08-node08_16,3,9,0,16,1,0.826749226,0.8133528265,0.9999109082,0.7046654,3971
batch_1,2013-12-27.02-54-08-node08_16,3,9,0,16,2,0.9052841476,0.8806034483,0.9999576325,0.8269581056,4387
